id|first_name|last_name|anime_list|pictures|value
35258|Itaru|Hashida|Steins;Gate|https://cdn.myanimelist.net/images/characters/6/113767.jpg,https://cdn.myanimelist.net/images/characters/13/128411.jpg,https://cdn.myanimelist.net/images/characters/2/148721.jpg|541
34470|Kurisu|Makise|Steins;Gate|https://cdn.myanimelist.net/images/characters/11/113023.jpg,https://cdn.myanimelist.net/images/characters/8/258807.jpg,https://cdn.myanimelist.net/images/characters/15/258809.jpg,https://cdn.myanimelist.net/images/characters/16/275311.jpg,https://cdn.myanimelist.net/images/characters/7/275312.jpg,https://cdn.myanimelist.net/images/characters/3/307083.jpg,https://cdn.myanimelist.net/images/characters/10/310993.jpg,https://cdn.myanimelist.net/images/characters/5/310997.jpg,https://cdn.myanimelist.net/images/characters/11/462591.jpg,https://cdn.myanimelist.net/images/characters/12/492885.jpg|861
35252|Rintarou|Okabe|Steins;Gate|https://cdn.myanimelist.net/images/characters/9/113019.jpg,https://cdn.myanimelist.net/images/characters/6/118993.jpg,https://cdn.myanimelist.net/images/characters/6/122643.jpg,https://cdn.myanimelist.net/images/characters/11/127337.jpg,https://cdn.myanimelist.net/images/characters/11/241541.jpg,https://cdn.myanimelist.net/images/characters/5/258813.jpg,https://cdn.myanimelist.net/images/characters/7/258815.jpg,https://cdn.myanimelist.net/images/characters/15/310991.jpg,https://cdn.myanimelist.net/images/characters/9/344294.jpg,https://cdn.myanimelist.net/images/characters/13/344295.jpg,https://cdn.myanimelist.net/images/characters/16/344296.jpg,https://cdn.myanimelist.net/images/characters/5/355002.jpg,https://cdn.myanimelist.net/images/characters/11/441573.jpg,https://cdn.myanimelist.net/images/characters/12/446183.jpg,https://cdn.myanimelist.net/images/characters/7/446184.jpg|893
35253|Mayuri|Shiina|Steins;Gate|https://cdn.myanimelist.net/images/characters/16/113697.jpg,https://cdn.myanimelist.net/images/characters/10/113698.jpg,https://cdn.myanimelist.net/images/characters/13/113763.jpg,https://cdn.myanimelist.net/images/characters/10/119651.jpg,https://cdn.myanimelist.net/images/characters/16/120715.jpg,https://cdn.myanimelist.net/images/characters/7/120717.jpg,https://cdn.myanimelist.net/images/characters/11/120718.jpg,https://cdn.myanimelist.net/images/characters/4/131329.jpg|715
210737|4℃|""|Steins;Gate|https://cdn.myanimelist.net/images/characters/11/473491.jpg|15
35256|Rumiho|Akiha|Steins;Gate|https://cdn.myanimelist.net/images/characters/8/113021.jpg,https://cdn.myanimelist.net/images/characters/4/113022.jpg,https://cdn.myanimelist.net/images/characters/8/113747.jpg,https://cdn.myanimelist.net/images/characters/16/113748.jpg,https://cdn.myanimelist.net/images/characters/7/113750.jpg,https://cdn.myanimelist.net/images/characters/10/113751.jpg,https://cdn.myanimelist.net/images/characters/2/142621.jpg,https://cdn.myanimelist.net/images/characters/11/148221.jpg|483
44274|Yukitaka|Akiha|Steins;Gate|https://cdn.myanimelist.net/images/characters/13/121808.jpg|15
35255|Suzuha|Amane|Steins;Gate|https://cdn.myanimelist.net/images/characters/7/107442.jpg,https://cdn.myanimelist.net/images/characters/11/113764.jpg,https://cdn.myanimelist.net/images/characters/13/113765.jpg,https://cdn.myanimelist.net/images/characters/15/113766.jpg,https://cdn.myanimelist.net/images/characters/13/120716.jpg,https://cdn.myanimelist.net/images/characters/14/122639.jpg,https://cdn.myanimelist.net/images/characters/3/148223.jpg,https://cdn.myanimelist.net/images/characters/9/272487.jpg,https://cdn.myanimelist.net/images/characters/16/369477.jpg|599
210731|Attendant|""|Steins;Gate|https://cdn.myanimelist.net/images/characters/10/473484.jpg|10
35257|Moeka|Kiryuu|Steins;Gate|https://cdn.myanimelist.net/images/characters/9/113771.jpg,https://cdn.myanimelist.net/images/characters/12/113772.jpg,https://cdn.myanimelist.net/images/characters/3/113773.jpg,https://cdn.myanimelist.net/images/characters/5/129771.jpg,https://cdn.myanimelist.net/images/characters/12/136399.jpg,https://cdn.myanimelist.net/images/characters/13/139149.jpg,https://cdn.myanimelist.net/images/characters/12/275310.jpg,https://cdn.myanimelist.net/images/characters/15/275508.jpg|428
